folder_id,current_path,current_name,proposed_name,issue
0BxSL-nQmQOtdRktITW9IWEN0VGc,03. Financial Insurance/5. Insurance/Medical Claims - Hannah 2016/13 Weeks 1 June 2015,Weeks 1 June 2015,13 Weeks 1 June 2015,"REVERT 2026-09-20: a bare leading number is a street number/age/date, not an ordering prefix; a leading underscore marks a system folder"
0BxSL-nQmQOtdWV9zUklTVjNHaFk,03. Financial Insurance/5. Insurance/Medical Claims - Hannah 2016/30 July,July,30 July,"REVERT 2026-09-20: a bare leading number is a street number/age/date, not an ordering prefix; a leading underscore marks a system folder"
1fx2JmJ4U1z4jnmzzRSD05ph406ze24KO,03. Financial Insurance/_Reference,Reference,_Reference,"REVERT 2026-09-20: a bare leading number is a street number/age/date, not an ordering prefix; a leading underscore marks a system folder"
1or3IinMOJjgI00eW9KjyqPD5pE1_17CE,09. Admin/01. Homes/Archive/19 Aandwind,Aandwind,19 Aandwind,"REVERT 2026-09-20: a bare leading number is a street number/age/date, not an ordering prefix; a leading underscore marks a system folder"
1p8XSlgtRArt3BDlD-Q-R8WhWmvo0B2b0,09. Admin/01. Homes/Archive/19 Courtly Crescent,Courtly Crescent,19 Courtly Crescent,"REVERT 2026-09-20: a bare leading number is a street number/age/date, not an ordering prefix; a leading underscore marks a system folder"
